,1_year_revision,2_year_revision,3_year_revision,average_revision
2010 Q1,-0.1,0.1,0.3,0.09999999999999999
2010 Q2,-0.1,-0.5,-0.2,-0.26666666666666666
2010 Q3,-0.2,-0.2,-0.4,-0.26666666666666666
2010 Q4,0.1,0.2,0.4,0.23333333333333336
2011 Q1,-0.3,0.0,0.0,-0.09999999999999999
2011 Q2,-0.3,-0.1,-0.1,-0.16666666666666666
2011 Q3,0.0,0.1,0.2,0.10000000000000002
2011 Q4,-0.1,0.1,0.2,0.06666666666666667
2012 Q1,0.2,0.3,0.4,0.3
2012 Q2,0.0,0.1,0.3,0.13333333333333333
2012 Q3,-0.4,-0.2,0.0,-0.20000000000000004
2012 Q4,0.2,0.0,0.2,0.13333333333333333
2013 Q1,0.1,0.3,0.4,0.26666666666666666
2013 Q2,0.0,-0.1,-0.2,-0.10000000000000002
2013 Q3,0.1,0.1,0.0,0.06666666666666667
2013 Q4,-0.3,-0.1,-0.2,-0.20000000000000004
2014 Q1,0.1,-0.2,0.0,-0.03333333333333333
2014 Q2,0.1,0.1,0.1,0.10000000000000002
2014 Q3,-0.1,0.1,0.1,0.03333333333333333
2014 Q4,0.2,0.3,0.3,0.26666666666666666
2015 Q1,0.2,0.0,0.0,0.06666666666666667
2015 Q2,-0.3,-0.2,-0.1,-0.19999999999999998
2015 Q3,-0.2,-0.1,-0.1,-0.13333333333333333
2015 Q4,0.2,0.2,0.2,0.20000000000000004
2016 Q1,-0.2,-0.2,-0.1,-0.16666666666666666
2016 Q2,0.0,-0.4,-0.4,-0.26666666666666666
2016 Q3,-0.1,0.0,0.0,-0.03333333333333333
2016 Q4,0.0,0.0,-0.1,-0.03333333333333333
2017 Q1,0.1,0.2,0.4,0.23333333333333336
2017 Q2,-0.1,0.0,0.0,-0.03333333333333333
2017 Q3,0.0,-0.1,0.0,-0.03333333333333333
2017 Q4,0.0,0.0,0.0,0.0
2018 Q1,0.0,0.0,0.0,0.0
2018 Q2,0.0,0.1,0.0,0.03333333333333333
2018 Q3,0.0,0.0,0.0,0.0
2018 Q4,0.0,0.0,0.1,0.03333333333333333
2019 Q1,0.2,0.1,0.1,0.13333333333333333
2019 Q2,0.1,0.3,0.3,0.2333333333333333
2019 Q3,0.0,0.2,0.3,0.16666666666666666
2019 Q4,0.0,0.0,0.0,0.0
2020 Q1,-0.8,-0.5,-0.6,-0.6333333333333333
2020 Q2,0.9,1.0,-0.6,0.4333333333333333
2020 Q3,1.9,1.1,,1.5
2020 Q4,0.5,0.2,,0.35
2021 Q1,0.3,0.4,,0.35
2021 Q2,0.8,1.7,,1.25
2021 Q3,0.5,,,0.5
2021 Q4,0.5,,,0.5
2022 Q1,-0.3,,,-0.3
2022 Q2,0.2,,,0.2
Average,0.07200000000000001,0.09565217391304347,0.028571428571428574,0.09633333333333333
